,순위,종목코드,종목명,주식종류,시장구분,주당배당금,시가배당율,액면가배당율,액면가,결산월
1368,1369,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1369,1385,00188K,디엘건설1우,우선주,기타비상장,"4,784",0.00,95.68,"5,000",12
1370,1386,011060,한국씨엔티,보통주,기타비상장,200,0.00,40.00,500,12
1371,1387,058210,실크로드시앤티,보통주,기타비상장,0,0.00,100.00,500,12
1372,1388,060080,제4기한국,보통주,기타비상장,0,0.00,40.00,500,12
1373,1389,073980,교보생명보험,보통주,기타비상장,"1,000",0.00,100.00,"1,000",12
1374,1390,042910,위즈네트,보통주,기타비상장,"1,500",0.00,30.00,"5,000",12
1375,1391,049030,프로랭스,보통주,기타비상장,40,0.00,8.00,500,12
1376,1392,049130,하우리,보통주,프리보드시장,0,0.00,6.00,500,12
1377,1393,070340,서진캠,보통주,기타비상장,0,0.00,4.00,500,12
1378,1394,073960,씨브이네트,보통주,프리보드시장,0,0.00,5.00,500,12
1379,1395,079180,내일신문,보통주,프리보드시장,0,0.00,25.00,"5,000",12
1380,1381,32700L,신한알파강남위탁관리부동산투자회사1우,우선주,기타비상장,0,0.00,157.10,"1,000",03
1381,1382,335050,신한호텔천안위탁관리부동산투자회사,보통주,기타비상장,0,0.00,0.00,"1,000",03
1382,1383,274030,그렉스,보통주,기타비상장,180,0.00,36.00,500,12
1383,1384,096300,한국월드와이드베트남부동산개발특별자산1호투자회사,보통주,유가증권시장,70,0.00,16.67,0,02
1384,1400,073980,교보생명보험,보통주,기타비상장,"1,000",0.00,100.00,"1,000",12
1385,1401,042910,위즈네트,보통주,기타비상장,"1,500",0.00,30.00,"5,000",12
1386,1402,049030,프로랭스,보통주,기타비상장,40,0.00,8.00,500,12
1387,1403,049130,하우리,보통주,프리보드시장,0,0.00,6.00,500,12
1388,1404,070340,서진캠,보통주,기타비상장,0,0.00,4.00,500,12
1389,1405,073960,씨브이네트,보통주,프리보드시장,0,0.00,5.00,500,12
1390,1406,079180,내일신문,보통주,프리보드시장,0,0.00,25.00,"5,000",12
1391,1407,086520,에코프로,보통주,코스닥시장,300,0.00,60.00,500,12
1392,1408,086900,메디톡스,보통주,코스닥시장,0,0.00,0.00,500,12
1393,1409,072990,에이치시티,보통주,코스닥시장,50,0.00,10.00,500,12
1394,1410,095380,동원엔터프라이즈,보통주,기타비상장,"1,000",0.00,20.00,"5,000",12
1395,1396,00188K,디엘건설1우,우선주,기타비상장,"4,784",0.00,95.68,"5,000",12
1396,1397,011060,한국씨엔티,보통주,기타비상장,200,0.00,40.00,500,12
1397,1398,058210,실크로드시앤티,보통주,기타비상장,0,0.00,100.00,500,12
1398,1414,070340,서진캠,보통주,기타비상장,0,0.00,4.00,500,12
1399,1415,073960,씨브이네트,보통주,프리보드시장,0,0.00,5.00,500,12
1400,1416,079180,내일신문,보통주,프리보드시장,0,0.00,25.00,"5,000",12
1401,1417,086520,에코프로,보통주,코스닥시장,300,0.00,60.00,500,12
1402,1418,086900,메디톡스,보통주,코스닥시장,0,0.00,0.00,500,12
1403,1419,072990,에이치시티,보통주,코스닥시장,50,0.00,10.00,500,12
1404,1420,095380,동원엔터프라이즈,보통주,기타비상장,"1,000",0.00,20.00,"5,000",12
1405,1421,099620,코엔스,보통주,프리보드시장,0,0.00,100.00,500,12
1406,1422,123900,골든블루,보통주,프리보드시장,50,0.00,10.00,500,12
1407,1423,105915,케이티디에스1우,우선주,기타비상장,0,0.00,25.00,"5,000",12
1408,1424,139150,이지스자산운용,보통주,기타비상장,0,0.00,140.00,500,12
1409,1425,144920,케이씨씨홀딩스,보통주,기타비상장,0,0.00,20.00,500,12
1410,1411,042910,위즈네트,보통주,기타비상장,"1,500",0.00,30.00,"5,000",12
1411,1412,049030,프로랭스,보통주,기타비상장,40,0.00,8.00,500,12
1412,1413,049130,하우리,보통주,프리보드시장,0,0.00,6.00,500,12
1413,1414,070340,서진캠,보통주,기타비상장,0,0.00,4.00,500,12
1414,1430,072990,에이치시티,보통주,코스닥시장,50,0.00,10.00,500,12
